Identifiant;n° notice BnF;Type de notice ;Type de document;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb421298430 | ISBN 9782732039510 | ;42129843;monographie;texte imprimé;Le petit bossu : un conte des "Mille et une nuits" / [adapté et illustré par] Sabine du Faÿ, Sébastien Mourrain;;Du Faÿ, Sabine (1962-....). Adaptateur | Mourrain, Sébastien (1976-....). Adaptateur | ;le Sorbier (Paris);2010;Collection : Au berceau du monde | Code à barres commercial : EAN 9782732039510 | ;;fre | français | ;"1 vol. (non paginé [24] p.) : ill. en coul., couv. ill. en coul. ; 32 cm";
http://catalogue.bnf.fr/ark:/12148/cb42781083c | ISBN 9782355924446 | ;42781083;monographie;texte imprimé;Gisèle Alain. 1 / Sui Kasai;Kasai, Sui (1984-....). Auteur du texte;;Éd. Ki-oon (Paris);2012;Code à barres commercial : EAN 9782355924446;;fre | français | ;"1 vol. (203 p.) : ill., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb42647013n | ISBN 9782723486675 | ;42647013;monographie;texte imprimé;Petit frère / Eiichiro Oda;Oda, Eiichirō (1975-....). Auteur du texte;;Glénat (Grenoble);2011;Collection : Shonen manga | Code à barres commercial : EAN 9782723486675 | ;;fre | français | ;"1 vol. (non paginé [ca 208] p.) : ill., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb42647403f | ISBN 9782745956149 | ;42647403;monographie;texte imprimé;"Lulu et le brontosaure / de Judith Viorst ; illustré par Lane Smith ; traduit de l'américain par Natalie Zimmermann";Viorst, Judith. Auteur du texte;Smith, Lane (1959-....). Illustrateur | Zimmermann, Natalie (1958-....). Traducteur | ;Milan (Toulouse);2012;Code à barres commercial : EAN 9782745956149;;fre | français | ;"1 vol. (123 p.) : ill., couv. ill. en coul. ; 24 cm";
http://catalogue.bnf.fr/ark:/12148/cb466654435 | ISBN 9782924645055 | ;46665443;monographie;texte imprimé;"Le jardin d'Abdul Gasazi / écrit et illustré par Chris Van Allsburg ; traduit de l'anglais par Christiane Duchesne";Van Allsburg, Chris (1949-....). Auteur du texte;Duchesne, Christiane (1949-....). Traducteur;D'Eux (Sherbrooke);2016;Code à barres commercial : EAN 9782924645055;;fre | français | ;"1 vol. (non paginé [29] p.) : ill. en coul. ; 29 x 31 cm";
http://catalogue.bnf.fr/ark:/12148/cb457119934 | ISBN 9782075122009 | ;45711993;monographie;texte imprimé;"Le roi de la rivière d'or / John Ruskin ; illustré par Quentin Blake ; traduit de l'anglais par Géraldine Koff D'Amico";Ruskin, John (1819-1900). Auteur du texte;Blake, Quentin (1932-....). Illustrateur | Amico, Géraldine d'. Traducteur | ;Gallimard jeunesse (Paris);2019;Code à barres commercial : EAN 9782075122009;;fre | français | ;"1 vol. (62 p.) : ill. en coul. ; 24 cm";
http://catalogue.bnf.fr/ark:/12148/cb39154474f | ISBN 2266119184 | ;39154474;monographie;texte imprimé;"Le chat chapeauté / Dr Seuss ; trad. de l'américain par Anne-Laure Fournier Le Ray";Dr Seuss (1904-1991). Auteur du texte | Fournier Le Ray, Anne-Laure. Auteur du texte | ;;Pocket jeunesse (Paris);2004;Collection : Kid pocket | Code à barres commercial : EAN 9782266119184 | ;;fre | français | ;"Non paginé [61] p. : ill., couv. ill. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb390099248 | ISBN 2736660935 | ;39009924;monographie;texte imprimé;"La lune rouge de Noël / raconté par J. Patrick Lewis ; ill. par Gary Kelley ; [trad. par Chantal de Fleurieu]";Lewis, J. Patrick (1942-....). Auteur du texte;Kelley, Gary (1945-....). Illustrateur | Fleurieu, Chantal de. Traducteur | ;Épigones (Coppet (Suisse));2001;"Collection : Petite bibliothèque illustrée ; 10 | Code à barres commercial : EAN 9782736660932 | ";;fre | français | ;"Non paginé [34] p. : ill. en coul., couv. ill. en coul. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb39093034h | ISBN 2877631958 | ;39093034;monographie;texte imprimé;"Les petits plaisirs de Mafate / École d'Îlet à Bourse, Île de la Réunion ; photos, Laurent Zitte ; [publ. par l'Association USEP Mafate]";École primaire d'Îlet à Bourse (La Possession, Réunion). Auteur du texte;Zitte, Laurent (1973-....). Illustrateur | Union sportive de l'enseignement du premier degré (France). Comité départemental (Réunion). Éditeur scientifique | ;Orphie (Sainte-Clotilde (La Réunion));2003;Code à barres commercial : EAN 9782877631952;Enfants -- Mafate, Cirque de (Réunion);cpf | créole ou pidgin français  | ;"39 p. : ill., couv. ill. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb39130004s | ISBN 2070557863 | ;39130004;monographie;texte imprimé;"La grâce au désert / Aranka Siegal ; trad. de l'anglais par Tessa Brisac";Siegal, Aranka (1930-....). Auteur du texte;Brisac, Tessa. Traducteur;Gallimard (Paris);2003;"Collection : Folio junior ; 1303 | Code à barres commercial : EAN 9782070557868 | ";;fre | français | ;"326 p. : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb390875141 | ISBN 2800134038 | ;39087514;monographie;texte imprimé;Une maison de Frank L. Wright : et autres histoires d'amour / Cosey;Cosey (1950-....). Auteur du texte;;Dupuis (Marcinelle);2003;Collection : Aire libre | Code à barres commercial : EAN 9782800134031 | ;;fre | français | ;"64 p. : ill. en coul., couv. ill. en coul. ; 31 cm";
http://catalogue.bnf.fr/ark:/12148/cb39289144p | ISBN 2207256324 | ;39289144;monographie;texte imprimé;"Le menteur / d'après la nouvelle de Henry James ; [adapté par] Nadja";Nadja (1955-....). Auteur du texte;James, Henry (1843-1916). Auteur adapté;Denoël (Paris);2004;Collection : Denoël graphic | Code à barres commercial : EAN 9782207256329 | ;;fre | français | ;"1 vol. (85 p.) : ill., jaquette ill. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb389755242 | ISBN 2841160777 | ;38975524;monographie;texte imprimé;"Ces gens qui sont des arbres / David Dumortier ; images de Martine Mellinette";Dumortier, David (1967-....). Auteur du texte;Mellinette, Martine (1952-....). Illustrateur;Cheyne (Chambon-sur-Lignon);2003;Collection : Poèmes pour grandir | Code à barres commercial : EAN 9782841160778 | ;;fre | français | ;"44 p. : ill. en coul., couv. ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb389118340 | ISBN 2844201814 | ;38911834;monographie;texte imprimé;L'homme qui ne possédait rien / Jean-Claude Mourlevat;Mourlevat, Jean-Claude (1952-....). Auteur du texte;;T. Magnier (Paris);2002;Collection : Petite poche | Code à barres commercial : EAN 9782844201812 | ;;fre | français | ;"45 p. ; 15 cm";
http://catalogue.bnf.fr/ark:/12148/cb40080224p | ISBN 2226159266 | ;40080224;monographie;texte imprimé;"La porte de Ptolémée / Jonathan Stroud ; traduit de l'anglais par Hélène Collon";Stroud, Jonathan (1970-....). Auteur du texte;Collon, Hélène (1961-....). Traducteur;A. Michel (Paris);2005;Collection : Wiz | Code à barres commercial : EAN 9782226159267 | ;;fre | français | ;"1 vol. (614 p.) : couv. ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb40941474r | ISBN 2748505131 | ;40941474;monographie;texte imprimé;Lambada pour l'enfer / Hector Hugo;Hugo, Hector (1946-2010). Auteur du texte;;Syros (Paris);2006;Collection : Rat noir | Code à barres commercial : EAN 9782748505139 | ;;fre | français | ;"1 vol. (86 p.) : couv. ill. en coul. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb40999414v | ISBN 9782070612659 | ;40999414;monographie;texte imprimé;"Les contes bleus du chat perché ([Nouvelle éd.]) Marcel Aymé ; illustrations de Philippe Dumas";Aymé, Marcel (1902-1967). Auteur du texte;Dumas, Philippe (1940-....). Illustrateur;Gallimard jeunesse (Paris);2007;"Collection : Folio junior ; 433 | Code à barres commercial : EAN 9782070612659 | Code à barres commercial : EAN 9782075085748 | ";;fre | français | ;"1 vol. (203 p.) : ill., couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb409994841 | ISBN 9782070577095 | ;40999484;monographie;texte imprimé;"Les contes rouges du chat perché ([Nouvelle éd.]) Marcel Aymé ; illustrations de Philippe Dumas";Aymé, Marcel (1902-1967). Auteur du texte;Dumas, Philippe (1940-....). Illustrateur;Gallimard jeunesse (Paris);2007;"Collection : Folio junior ; 434 | Code à barres commercial : EAN 9782070577095 | Code à barres commercial : EAN 9782075097765 | ";;fre | français | ;"1 vol. (205 p.) : ill., couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb40999374f | ISBN 9782070577101 | ;40999374;monographie;texte imprimé;"Le tour du monde en quatre-vingts jours ([Nouvelle éd.]) Jules Verne ; illustrations de C. [i.e. A.] de Neuville et L. Benett";Verne, Jules (1828-1905). Auteur du texte;Neuville, Alphonse de (1836-1885). Illustrateur | Benett, Léon (1839-1916). Illustrateur | ;Gallimard jeunesse (Paris);2007;"Collection : Folio junior ; 521 | Code à barres commercial : EAN 9782070577101 | ";;fre | français | ;"1 vol. (350 p.) : ill., couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb401412248 | ISBN 2070573125 | ;40141224;monographie;texte imprimé;La mauvaise pente / Florence Dupré la Tour;Dupré La Tour, Florence (1978-....). Auteur du texte;;Gallimard (Paris);2006;Collection : Bayou | Code à barres commercial : EAN 9782070573127 | ;;fre | français | ;"1 vol. (124 p.) : ill. en coul., couv. ill. en coul. ; 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb409456043 | ISBN 2756006629 | ;40945604;monographie;texte imprimé;"Histoires pour tous. 4 / Osamu Tezuka ; [traduit et adapté du japonais par Patrick Honnoré]";Tezuka, Osamu (1928-1989). Auteur du texte;Honnoré, Patrick. Traducteur;Delcourt-Akata (Paris);2006;Code à barres commercial : EAN 9782756006628;;fre | français | ;"1 vol. (225 p.) : ill., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb40978594z | ISBN 9782756007618 | ;40978594;monographie;texte imprimé;"Subaru : danse vers les étoiles. 7 / Masahito Soda ; [traduit par Yuko K.] ; [adapté par Bruno Pham]";Soda, Masahito. Auteur du texte;Kuramatsu, Yūko. Traducteur | Pham, Bruno. Adaptateur | ;Delcourt-Akata (Paris);2007;Collection : Collection Ginkgo | Code à barres commercial : EAN 9782756007618 | ;;fre | français | ;"1 vol. (non paginé ca 224] p.) : ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb40051964g | ISBN 2800133589 | ;40051964;monographie;texte imprimé;Le septième code / par Roger Leloup;Leloup, Roger (1933-....). Auteur du texte;;Dupuis (Marcinelle);2005;Code à barres commercial : EAN 9782800133584;;fre | français | ;"1 vol. (47 p.) : ill. en coul., couv. ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb43542704c | ISBN 9782364742147 | ;43542704;monographie;texte imprimé;10 hiboux / Stéphanie Le Begge;Le Begge, Stéphanie. Auteur du texte;;T. Magnier (Paris);2013;Collection : Collection Tête de lard | Code à barres commercial : EAN 9782364742147 | ;;fre | français | ;"1 vol. (non paginé [22] p.) : ill., couv. ill. en coul. ; 12 cm";
http://catalogue.bnf.fr/ark:/12148/cb436015743 | ISBN 9791092111002 | ;43601574;monographie;texte imprimé;"La petite famille / scénario, Loïc Dauvillier ; dessins, Marc Lizano ; couleurs, Jean-Jacques Rouger";Dauvillier, Loïc (1971-....). Auteur du texte;Lizano, Marc (1970-....). Illustrateur;les Éd. de la Gouttière (Amiens);2013;Code à barres commercial : EAN 9791092111002;;fre | français | ;"1 vol. (102 p.) : ill. en coul., couv. ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb43396664m | ISBN 9788875700201 | ;43396664;monographie;texte imprimé;Cahier de dessin / Paul Cox;Cox, Paul (1959-....). Auteur du texte;;Corraini (Mantova);2006;;;fre | français | ;"np. : ill. en coul., couv. ill. en coul. ; 21 x 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb43411044n | ISBN 9782912754578 | ;43411044;monographie;texte imprimé;"Olaf : le géant mélomane / Annelise Heurtier ; illustrations Cécile Gambini ; lu par Jacques Allaire";Heurtier, Annelise (1979-....). Auteur du texte;Gambini, Cécile (1973-....). Illustrateur | Allaire, Jacques (1963-....). 1110 | ;Benjamins media (Montpellier);2012;Code à barres commercial : EAN 9782912754578;;fre | français | ;"1 vol. (48 p.) : ill. en coul. ; 22 x 22 cm + 1 CD audio";
http://catalogue.bnf.fr/ark:/12148/cb43512674n | ISBN 9782013939492 | ;43512674;monographie;texte imprimé;Le petit théâtre de Rebecca / Rebecca Dautremer;Dautremer, Rébecca (1971-....). Auteur du texte;;Gautier-Languereau (Paris);2012;Code à barres commercial : EAN 9782013939492;;fre | français | ;"1 vol. (non paginé [ca 208] p.) : ill. en coul., couv. ill. en coul. ; 21 x 24 cm";
http://catalogue.bnf.fr/ark:/12148/cb409986443 | ISBN 9782070610396 | ;40998644;monographie;texte imprimé;"Le manoir de l'enfer / Steve Jackson ; illustrations de Tim Sell ; traduit de l'anglais par Michel Zénon";Jackson, Steve (1951-....). Auteur du texte;Sell, Tim. Illustrateur | Zénon, Michel. Traducteur | ;Gallimard jeunesse (Paris);2007;"Collection : Défis fantastiques ; 8 | Code à barres commercial : EAN 9782070610396 | ";;fre | français | ;"1 vol. (24-[ca 200] p.) : ill., couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb409985544 | ISBN 9782070610327 | ;40998554;monographie;texte imprimé;"Le sorcier de la montagne de feu / Steve Jackson et Ian Livingstone ; illustrations de Russ Nicholson ; traduit de l'anglais par Camille Fabien";Jackson, Steve (1951-....). Auteur du texte | Livingstone, Ian (1949-....). Auteur du texte | ;Nicholson, Russ. Illustrateur | Fabien, Camille (1948-....). Traducteur | ;Gallimard jeunesse (Paris);2007;"Collection : Défis fantastiques ; 1 | Code à barres commercial : EAN 9782070610327 | Code à barres commercial : EAN 9782070647408 | Code à barres commercial : EAN 9782070647408 | ";;fre | français | ;"1 vol. (26-[ca 200] p.) : ill., couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb435171049 | ISBN 9782302027008 | ;43517104;monographie;texte imprimé;"Wounds / oeuvre originale, Otsuichi ; dessin, Hiro Kiyohara";Otsuichi (1978-....). Auteur du texte;Kiyohara, Hiro. Illustrateur;Soleil (Toulon);2012;Collection : Soleil manga | Code à barres commercial : EAN 9782302027008 | ;;fre | français | ;"1 vol. (194 p.) : ill. en noir et en coul., couv. ill., jaquette ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb40240874d | ISBN 2092509675 | ;40240874;monographie;texte imprimé;Arts décoratifs, entrée libre / MarieSellier;Sellier, Marie (1953-....). Auteur du texte;;Nathan (Paris) | les Arts décoratifs (Paris) | ;2006;Collection : Entrée libre | Code à barres commercial : EAN 9782092509678 | ;Arts décoratifs -- Histoire | Musée des arts décoratifs (Paris) | ;fre | français | ;"1 vol. (94 p.) : ill. en coul., couv. ill. en coul. ; 26 cm";
http://catalogue.bnf.fr/ark:/12148/cb400425245 | ISBN 2841661571 | ;40042524;monographie;texte imprimé;"La fillette inuit / René Turc ; & [illustré par] Elsa Huet ; [inspiré d'un conte inuit recueilli par Rasmussen]";Turc, René (1945-....). Auteur du texte;Huet, Elsa (1979-....). Illustrateur | Rasmussen, Knud (1879-1933). Auteur adapté | ;Grandir (Nîmes);2002;Code à barres commercial : EAN 9782841661572;;fre | français | ;"1 vol. (non paginé [34] p.) : ill., couv. ill. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb414200341 | ISBN 9782748507782 | ;41420034;monographie;texte imprimé;Quand la banlieue dort / Benjamin et Julien Guérif;Guérif, Benjamin. Auteur du texte | Guérif, Julien. Auteur du texte | ;;Syros (Paris);2009;Collection : Rat noir | Code à barres commercial : EAN 9782748507782 | ;;fre | français | ;"1 vol. (172 p.) : couv. ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb411661044 | ISBN 9782745928603 | ;41166104;monographie;texte imprimé;"La mystérieuse nuit de Noël / texte de Clement C. Moore ; illustrations de Niroot Puttapipat ; adaptation française de Mim";Moore, Clement Clarke (1779-1863). Auteur du texte;Puttapipat, Niroot. Illustrateur | Mim (1976-....). Traducteur | ;Milan jeunesse (Toulouse);2007;Collection : Un fabuleux livre animé | Code à barres commercial : EAN 9782745928603 | ;;fre | français | ;"1 vol. (non paginé [18] p.) : ill., couv. ill. ; 28 cm";
http://catalogue.bnf.fr/ark:/12148/cb412317749 | ISBN 9782211090001 | ;41231774;monographie;texte imprimé;"22 ! / Marie-Aude Murail ; illustrations d'Yvan Pommaux";Murail, Marie-Aude (1954-....). Auteur du texte;Pommaux, Yvan (1946-....). Illustrateur;l'École des loisirs (Paris);2008;Collection : Mouche | Code à barres commercial : EAN 9782211090001 | ;;fre | français | ;"1 vol. (51 p.) : ill., couv. ill. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb411825845 | ISBN 2266176943 | ;41182584;monographie;texte imprimé;Contours du jour qui vient / Léonora Miano;Miano, Léonora (1973-....). Auteur du texte;;Pocket jeunesse (Paris);2008;Collection : Pocket jeunes adultes | Code à barres commercial : EAN 9782266176941 | ;;fre | français | ;"1 vol. (255 p.) : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb41137374g | ISBN 9782748505627 | ;41137374;monographie;texte imprimé;"La famille racontée aux petits curieux / Sylvie Baussier ; Natali";Baussier, Sylvie (1964-....). Auteur du texte;Natali (1968-....). Illustrateur;Syros (Paris);2007;Collection : Les albums documentaires | Code à barres commercial : EAN 9782748505627 | ;Famille;fre | français | ;"1 vol. (59 p.) : ill. en coul., couv. ill. en coul. ; 31 cm";
http://catalogue.bnf.fr/ark:/12148/cb41170444z | ISBN 9782070575909 | ;41170444;monographie;texte imprimé;"L'or du prédateur / Philip Reeve ; traduit de l'anglais par Luc Rigoureau";Reeve, Philip (1966-....). Auteur du texte;Rigoureau, Luc. Traducteur;Gallimard jeunesse (Paris);2007;"Collection : Folio junior ; 1456 | Code à barres commercial : EAN 9782070575909 | ";;fre | français | ;"1 vol. (389 p.) : couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb41184064n | ISBN 9782723461863 | ;41184064;monographie;texte imprimé;Faire l'amour / [Zep];Zep (1967-....). Auteur du texte;;Éd. FLBLB (Poitiers);2007;Code à barres commercial : EAN 9782723461863;;fre | français | ;"1 vol. (non paginé [ca 52] f.) : tout en ill. en coul., couv. ill. en coul. ; 7 x 11 cm";
http://catalogue.bnf.fr/ark:/12148/cb410835549 | ISBN 9782351421796 | ;41083554;monographie;texte imprimé;"Emma. 3 / Kaoru Mori ; [traduction de Ève Chauviré]";Mori, Kaoru (1978-....). Auteur du texte;Chauviré, Ève. Traducteur;Kurokawa (Paris);2007;Collection : Collection dirigée par Grégoire Hellot | Code à barres commercial : EAN 9782351421796 | ;;fre | français | ;"1 vol. (non paginé [ca 192] p.) : ill., jaquette ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb413622848 | ISBN 9782756014746 | ;41362284;monographie;texte imprimé;Nana. 19 / Ai Yazawa;Yazawa, Ai (1967-....). Auteur du texte;;Delcourt-Akata (Paris);2008;Code à barres commercial : EAN 9782756014746;;fre | français | ;"1 vol. (178 p.) : ill. couv ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb44407554q | ISBN 9789953465401 | ;44407554;monographie;texte imprimé;"Al-Ṭṭayarān / Ra'īsaẗ al-taḥrīr: Nadīn R. L. Tūmā ; Iẖrāǧ fannī: Līn Šaraf al-Dīn | الطيران / رئيسة التحرير: ندين ر. ل. توما ; إخراج فني: لين شرف الدين | ";;Tūmā, Nadīn R. L. (1972-....). Directeur de publication | Šaraf al-Dīn, Līn (1980-....). Producteur artistique | ;Dar Onboz (Bayrūt) | دار قنبز (بيروت) | ;2015;;;ara | arabe | ;"2 vol. (183 p. et 93 p.) ; 26 cm + Autocollants et planches à découper";
http://catalogue.bnf.fr/ark:/12148/cb43789574v | ISBN 9782882583864 | ;43789574;monographie;texte imprimé;"Shola des villes, Shola des champs / Bernardo Atxaga ; traduit de l'espagnol par André Gabastou ; illustrations de Mikel Valverde";Atxaga, Bernardo (1951-....). Auteur du texte;Gabastou, André. Traducteur | Valverde Tejedor, Mikel (1966-....). Illustrateur | ;la Joie de lire (Genève);2007;Collection : Collection Récits | Code à barres commercial : EAN 9782882583864 | ;;fre | français | ;"1 vol. (48 p.) : ill., couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb435241441 | ISBN 9782889081523 | ;43524144;monographie;texte imprimé;Quelque chose de grand / Sylvie Neeman & Ingrid Godon;Neeman, Sylvie (1963-....). Auteur du texte | Godon, Ingrid (1958-....). Auteur du texte | ;;la Joie de lire (Genève);2012;Code à barres commercial : EAN 9782889081523;;fre | français | ;"1 vol. (non paginé [32] p.) : ill. en coul., couv. ill. en coul. ; 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb43501984b | ISBN 9782355924736 | ;43501984;monographie;texte imprimé;Barakamon. 2 / Satsuki Yoshino;Yoshino, Satsuki. Auteur du texte;;Éd. Ki-oon (Paris);2012;Code à barres commercial : EAN 9782355924736;;fre | français | ;"1 vol. (non paginé [ca 192] p.) : ill., couv. ill., jaquette ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb438509045 | ISBN 9782848017686 | ;43850904;monographie;texte imprimé;J'aime pas l'amour ! / Mr Tan, Miss Prickly;Mr Tan (1981-....). Auteur du texte | Miss Prickly (1982-....). Auteur du texte | ;;Tourbillon (Paris);2012;Code à barres commercial : EAN 9782848017686;;fre | français | ;"1 vol. (94 p.) : ill. en coul., couv. ill. en coul. ; 16 cm";
http://catalogue.bnf.fr/ark:/12148/cb43413214r | ISBN 2723601013 | ;43413214;monographie;texte imprimé;Les Aventures de Leuk-le-Lièvre / SENGHOR, Léopold Sedar,SADJI, Abdoulaye,LOROFI, Georges;Senghor, Léopold Sédar (1906-2001). Auteur du texte | Sadji, Abdoulaye (1910-1961). Auteur du texte | Lorofi, Georges. Auteur du texte | ;;NEAS (Dakar);1975;Code à barres commercial : EAN 9782723601016;;fre | français | ;"488 p. ; 21 x 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb40041524x | ISBN 2070524329 | ;40041524;monographie;texte imprimé;"Le monde de Narnia / C. S. Lewis ; illustrations de Pauline Baynes";Lewis, Clive Staples (1898-1963). Auteur du texte;Baynes, Pauline (1922-2008). Traducteur;Gallimard jeunesse (Paris);2005;Code à barres commercial : EAN 9782070524327;;fre | français | ;"1 vol. (868 p.) : ill., couv. ill. en coul. ; 24 cm";
http://catalogue.bnf.fr/ark:/12148/cb410032942 | ISBN 9782841863747 | ;41003294;monographie;texte imprimé;"Guernica / texte de Héliane Bernard ; dessins de Olivier Charpentier";Bernard, Héliane (1936-....). Auteur du texte;Charpentier, Olivier (1967-....). Illustrateur;Michalon (Paris);2007;Collection : Album tatou | Code à barres commercial : EAN 9782841863747 | ;Picasso, Pablo (1881-1973). Guernica | Guernica y Luno (Espagne) -- 1937 (Bombardement) | ;fre | français | ;"1 vol. (42 p.) : ill. en noir et en coul., couv. ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb41003894q | ISBN 2841863379 | ;41003894;monographie;texte imprimé;"Poésie arabo-andalouse : petite anthologie / poèmes choisis par Farouk Mardam-Bey ; illustrations de Rachid Koraïchi | Muẖtārāt min al-šiʿr al-andalusī | مختارات من الشعر الأندلسي | ";;Mardam bayk, Fārūq (1944-....). Éditeur scientifique | Koraïchi, Rachid (1947-....). Illustrateur | ;Michalon (Paris);2006;Collection : Album tatou | Code à barres commercial : EAN 9782841863372 | ;Poésie arabo-andalouse;fre | français | ;"1 vol. (38 p.) : ill. en coul., couv. ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb41116314z | ISBN 9782748506150 | ;41116314;monographie;texte imprimé;L'ombre d'Adrien / Cathy Ytak;Ytak, Cathy (1962-....). Auteur du texte;;Syros (Paris);2007;Collection : Les uns et les autres | Code à barres commercial : EAN 9782748506150 | ;;fre | français | ;"1 vol. (164 p.) : couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb41464814d | ISBN 9782756014517 | ;41464814;monographie;texte imprimé;Mes voisins les Yamada. Volume 1 / Hisaichi Ishii;Ishii, Hisaichi (1951-....). Auteur du texte;;Delcourt-Akata (Paris);2009;Collection : Shampooing | Code à barres commercial : EAN 9782756014517 | ;;fre | français | ;"1 vol. (349 p.) : ill., couv. ill. en coul. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb412121645 | ISBN 9782800141398 | ;41212164;monographie;texte imprimé;"Pagaille dans les nuages / dessin, Christian Durieux ; scénario, Denis Lapière ; couleurs, Marmelade";Durieux, Christian (1965-....). Auteur du texte | Lapière, Denis (1958-....). Auteur du texte | ;;Dupuis (Marcinelle);2008;Collection : Punaise | Code à barres commercial : EAN 9782800141398 | ;;fre | français | ;"1 vol. (48 p.) : ill. en coul., couv. ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb41163504h | ISBN 9782013914116 | ;41163504;monographie;texte imprimé;"La ceinture de feu / Agnès de Lestrade ; [illustrations de] Delphine Jacquot";Lestrade, Agnès de (1964-....). Auteur du texte;Jacquot, Delphine (1982-....). Illustrateur;Gautier-Languereau (Paris);2007;Code à barres commercial : EAN 9782013914116;;fre | français | ;"1 vol. (non paginé [28] p.) : ill. en coul., couv. ill. en coul. ; 28 x 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb41393784h | ISBN 9782800141367 | ;41393784;monographie;texte imprimé;"Le club de l'Éclair / Bailly, Mathy, Lapière ; couleurs, Francesca";Bailly, Pierre (1970-....). Auteur du texte | Mathy, Vincent (1971-....). Auteur du texte | Lapière, Denis (1958-....). Auteur du texte | ;;Dupuis (Marcinelle);2008;Collection : Punaise | Code à barres commercial : EAN 9782800141367 | ;;fre | français | ;"1 vol. (47 p.) : ill. en coul., couv. ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb411148543 | ISBN 9782755702668 | ;41114854;monographie;texte imprimé;À l'infini / Květa Pacovská;Pacovská, Květa (1928-2023). Auteur du texte;;Panama (Paris);2007;Code à barres commercial : EAN 9782755702668;;fre | français | ;"1 vol. (non paginé [ca 130] p.) : ill. en noir et en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb41453864h | ISBN 9782812600166 | ;41453864;monographie;texte imprimé;"Embrasse-moi / Bart Moeyaert ; traduit du néerlandais par Daniel Cunin";Moeyaert, Bart (1964-....). Auteur du texte;Cunin, Daniel (1963-....). Traducteur;Éd. du Rouergue (Rodez);2009;Collection : DoAdo | Code à barres commercial : EAN 9782812600166 | ;;fre | français | ;"1 vol. (122 p.) : couv. ill. en coul. ; 17 cm";
http://catalogue.bnf.fr/ark:/12148/cb427135844 | ISBN 9782355041938 | ;42713584;monographie;texte imprimé;"Chaque enfant est un poème : anthologie poétique au pays de toutes les enfances / poèmes réunis par Jean-Marie Henry ; images de Solenn Larnicol";;Henry, Jean-Marie (1955-....). Éditeur scientifique | Larnicol, Solenn (1986-....). Illustrateur | ;Rue du monde (Voisins-le-Bretonneux);2012;Collection : La poésie | Code à barres commercial : EAN 9782355041938 | ;Enfants;fre | français | ;"1 vol. (60 p.) : ill. en coul., couv. ill. en coul. ; 19 x 25 cm";
